,Grundlegend,Fundiert,Experte,Führend
1980,0,0,0.867924528,0.132075472
1983,0,0.2,0.266666667,0.533333333
1985,0.518918919,0.243243243,0.210810811,0.027027027
1986,0,0.146341463,0.853658537,0
1987,0.107476636,0.612149533,0.247663551,0.03271028
1988,0,1,0,0
1989,0.202380952,0.119047619,0.583333333,0.095238095
1990,0.4,0.6,0,0
1991,0,0.142857143,0.857142857,0
1993,0.451219512,0.164634146,0.347560976,0.036585366
1994,0,0,0,1
1995,0.235546039,0.475374732,0.263383298,0.025695931
1996,0.544642857,0,0.397321429,0.058035714
1997,1,0,0,0
1998,0.288235294,0.388235294,0.323529412,0
1999,0,0.778846154,0.192307692,0.028846154
2000,0,0,0,1
2001,0,0.606060606,0.393939394,0
2002,0.510869565,0.489130435,0,0
2003,0,0.689873418,0.310126582,0
2004,0.971428571,0,0,0.028571429
2005,0.265753425,0.484931507,0.247488584,0.001826484
2006,0.546628407,0.18794835,0.261119082,0.004304161
2007,0.323822163,0.437956204,0.226277372,0.01194426
2008,0.406143345,0.453924915,0.139931741,0
2009,0.367559524,0.494047619,0.09672619,0.041666667
2010,0.392156863,0.117647059,0.078431373,0.411764706
2011,0.596491228,0.350877193,0.052631579,0
2012,0.478095238,0.459047619,0.061904762,0.000952381
2013,0.59009009,0.40990991,0,0
2014,0.124444444,0.826666667,0.048888889,0
2015,0.802985075,0.164179104,0.032835821,0
2016,0.727272727,0.272727273,0,0
