Skill	Skill-Unterkategorie	Bewertung	Standort	Skill Dauer	Anzahl Mitarbeiter
(J)Ruby	Sprache	1	Hamburg	1	4
(J)Ruby	Sprache	1	Offenbach	1	1
(J)Ruby	Sprache	1	Stuttgart	1	1
(J)Ruby	Sprache	2	Hamburg	1	1
(J)Ruby	Sprache	2	Hamburg	3	1
(J)Ruby	Sprache	2	Stuttgart	1	1
(J)Ruby	Sprache	2	Unterhaching	1	1
.Net	Sprache	1	Hamburg	1	1
.Net	Sprache	1	Offenbach	1	1
.Net	Sprache	1	Stuttgart	1	1
.Net	Sprache	1	Unterhaching	2	1
.Net	Sprache	1	Wien	3	1
.Net	Sprache	2	Hamburg	2	1
.Net	Sprache	2	Hamburg	3	2
.Net	Sprache	2	Stuttgart	1	1
.Net	Sprache	2	Unterhaching	2	1
.Net	Sprache	2	Unterhaching	3	2
.Net	Sprache	2	Unterhaching	4	1
.Net	Sprache	2	Wien	3	2
.Net	Sprache	2	Zürich	3	1
.Net	Sprache	3	Stuttgart	1	1
.Net	Sprache	3	Unterhaching	4	3
.Net	Sprache	3	Wien	4	1
ABAP	Sprache	1	Hamburg	1	2
ActionScript	Sprache	2	Unterhaching	2	1
ActionScript	Sprache	2	Unterhaching	3	1
ActionScript	Sprache	3	Unterhaching	1	1
Active Directory	Sonstiges (Technologie)	1	Hamburg	2	2
Active Directory	Sonstiges (Technologie)	1	Hamburg	3	1
Active Directory	Sonstiges (Technologie)	1	Offenbach	1	1
Active Directory	Sonstiges (Technologie)	1	Unterhaching	1	2
Active Directory	Sonstiges (Technologie)	1	Unterhaching	2	1
Active Directory	Sonstiges (Technologie)	1	Wien	1	1
Active Directory	Sonstiges (Technologie)	2	Hamburg	3	1
Active Directory	Sonstiges (Technologie)	2	Unterhaching	2	1
Active Directory	Sonstiges (Technologie)	2	Unterhaching	3	3
Active Directory	Sonstiges (Technologie)	2	Wien	4	1
Active Directory	Sonstiges (Technologie)	3	Unterhaching	4	1
ActiveMQ	Framework	1	Hamburg	1	1
ActiveMQ	Framework	1	Unterhaching	1	1
ActiveMQ	Framework	1	Unterhaching	2	1
ActiveMQ	Framework	2	Unterhaching	2	1
ActiveMQ	Framework	2	Wien	1	1
ADABAS	DBMS	1	Offenbach	1	1
ADABAS	DBMS	1	Unterhaching	2	1
ADABAS	DBMS	3	Offenbach	1	2
ADABAS	DBMS	3	Unterhaching	3	1
ADO.NET	Framework	1	Unterhaching	1	1
ADO.NET	Framework	1	Unterhaching	2	1
ADO.NET	Framework	2	Wien	3	1
Adobe AfterEffects	Ohne Zuordnung	2	Wien	3	1
Adobe Illustrator	Ohne Zuordnung	2	Wien	4	1
Adobe Photoshop	Ohne Zuordnung	1	Unterhaching	2	1
Adobe Photoshop	Ohne Zuordnung	2	Unterhaching	3	1
Adobe Photoshop	Ohne Zuordnung	3	Hamburg	3	1
Adobe Photoshop	Ohne Zuordnung	3	Wien	4	1
Agile Methoden	Vorgehen	1	Hamburg	1	2
Agile Methoden	Vorgehen	1	Hamburg	2	1
Agile Methoden	Vorgehen	1	Hamburg	3	1
Agile Methoden	Vorgehen	1	Offenbach	1	3
Agile Methoden	Vorgehen	1	Offenbach	2	2
Agile Methoden	Vorgehen	1	Stuttgart	1	2
Agile Methoden	Vorgehen	1	Unterhaching	1	4
Agile Methoden	Vorgehen	1	Unterhaching	2	2
Agile Methoden	Vorgehen	1	Unterhaching	4	1
Agile Methoden	Vorgehen	1	Wien	3	1
Agile Methoden	Vorgehen	1	Zürich	2	1
Agile Methoden	Vorgehen	2	Hamburg	1	1
Agile Methoden	Vorgehen	2	Hamburg	2	3
Agile Methoden	Vorgehen	2	Hamburg	3	2
Agile Methoden	Vorgehen	2	Hamburg	4	2
Agile Methoden	Vorgehen	2	Offenbach	2	2
Agile Methoden	Vorgehen	2	Offenbach	4	1
Agile Methoden	Vorgehen	2	Stuttgart	2	2
Agile Methoden	Vorgehen	2	Stuttgart	3	1
Agile Methoden	Vorgehen	2	Stuttgart	4	1
Agile Methoden	Vorgehen	2	Unterhaching	1	1
Agile Methoden	Vorgehen	2	Unterhaching	2	4
Agile Methoden	Vorgehen	2	Unterhaching	3	6
Agile Methoden	Vorgehen	2	Unterhaching	4	1
Agile Methoden	Vorgehen	2	Wien	3	4
Agile Methoden	Vorgehen	2	Wien	4	2
Agile Methoden	Vorgehen	3	Hamburg	3	4
Agile Methoden	Vorgehen	3	Offenbach	3	1
Agile Methoden	Vorgehen	3	Stuttgart	3	2
Agile Methoden	Vorgehen	3	Stuttgart	4	1
Agile Methoden	Vorgehen	3	Unterhaching	1	1
Agile Methoden	Vorgehen	3	Unterhaching	3	4
Agile Methoden	Vorgehen	3	Unterhaching	4	2
Agile Methoden	Vorgehen	3	Wien	3	1
Agile Methoden	Vorgehen	3	Wien	4	2
Agile Methoden	Vorgehen	4	Unterhaching	3	2
AIX	Betriebssystem	1	Hamburg	2	1
AIX	Betriebssystem	1	Offenbach	2	1
AIX	Betriebssystem	1	Unterhaching	1	1
AIX	Betriebssystem	2	Offenbach	2	1
AIX	Betriebssystem	2	Offenbach	3	1
AIX	Betriebssystem	2	Unterhaching	2	2
Ajax	Framework	1	Hamburg	1	1
Ajax	Framework	1	Hamburg	4	1
Ajax	Framework	1	Offenbach	2	1
Ajax	Framework	1	Offenbach	3	1
Ajax	Framework	1	Unterhaching	1	3
Ajax	Framework	1	Wien	1	2
Ajax	Framework	1	Wien	2	1
Ajax	Framework	2	Hamburg	1	1
Ajax	Framework	2	Offenbach	1	2
Ajax	Framework	2	Offenbach	2	2
