Skill	Skill-Unterkategorie	Bewertung	Standort	Skill Dauer	Anzahl Mitarbeiter
Ajax	Framework	2	Stuttgart	1	1
Ajax	Framework	2	Unterhaching	1	1
Ajax	Framework	2	Unterhaching	2	3
Ajax	Framework	2	Unterhaching	3	2
Ajax	Framework	2	Wien	1	1
Ajax	Framework	2	Wien	2	2
Ajax	Framework	2	Wien	3	1
Ajax	Framework	2	Zürich	1	1
Ajax	Framework	3	Hamburg	2	1
Ajax	Framework	3	Hamburg	3	1
Ajax	Framework	3	Hamburg	4	1
Ajax	Framework	3	Offenbach	2	1
Ajax	Framework	3	Stuttgart	1	1
Ajax	Framework	3	Stuttgart	3	2
Ajax	Framework	3	Unterhaching	1	2
Ajax	Framework	3	Unterhaching	4	2
Ajax	Framework	3	Wien	1	1
Ajax	Framework	3	Wien	3	2
Ajax	Framework	4	Unterhaching	3	1
Android	Betriebssystem	1	Hamburg	1	5
Android	Betriebssystem	1	Offenbach	1	1
Android	Betriebssystem	1	Offenbach	3	2
Android	Betriebssystem	1	Stuttgart	1	1
Android	Betriebssystem	1	Stuttgart	2	1
Android	Betriebssystem	1	Stuttgart	3	1
Android	Betriebssystem	1	Unterhaching	1	7
Android	Betriebssystem	1	Unterhaching	2	1
Android	Betriebssystem	1	Unterhaching	3	3
Android	Betriebssystem	1	Wien	1	3
Android	Betriebssystem	2	Hamburg	1	2
Android	Betriebssystem	2	Hamburg	2	3
Android	Betriebssystem	2	Hamburg	3	3
Android	Betriebssystem	2	Hamburg	4	1
Android	Betriebssystem	2	Offenbach	1	4
Android	Betriebssystem	2	Offenbach	2	1
Android	Betriebssystem	2	Stuttgart	1	2
Android	Betriebssystem	2	Unterhaching	1	4
Android	Betriebssystem	2	Unterhaching	2	7
Android	Betriebssystem	2	Unterhaching	3	1
Android	Betriebssystem	2	Wien	2	1
Android	Betriebssystem	2	Wien	4	1
Android	Betriebssystem	3	Hamburg	1	1
Android	Betriebssystem	3	Hamburg	3	1
Android	Betriebssystem	3	Offenbach	3	1
Android	Betriebssystem	3	Stuttgart	3	1
Android	Betriebssystem	3	Unterhaching	1	2
Android	Betriebssystem	3	Unterhaching	2	1
Android	Betriebssystem	3	Unterhaching	3	2
Android	Betriebssystem	3	Unterhaching	4	3
Android	Betriebssystem	3	Wien	3	2
Android Studio	Werkzeug	1	Hamburg	1	4
Android Studio	Werkzeug	1	Hamburg	2	1
Android Studio	Werkzeug	1	Stuttgart	2	1
Android Studio	Werkzeug	1	Unterhaching	1	7
Android Studio	Werkzeug	1	Unterhaching	2	1
Android Studio	Werkzeug	1	Wien	1	1
Android Studio	Werkzeug	2	Hamburg	1	1
Android Studio	Werkzeug	2	Hamburg	2	2
Android Studio	Werkzeug	2	Offenbach	2	1
Android Studio	Werkzeug	2	Stuttgart	1	1
Android Studio	Werkzeug	2	Unterhaching	1	3
Android Studio	Werkzeug	2	Unterhaching	3	1
Android Studio	Werkzeug	2	Wien	1	1
Android Studio	Werkzeug	2	Wien	2	1
Android Studio	Werkzeug	3	Unterhaching	3	1
Android Studio	Werkzeug	3	Wien	3	2
Android Wear	Betriebssystem	1	Stuttgart	2	1
Android Wear	Betriebssystem	1	Unterhaching	1	1
Android Wear	Betriebssystem	1	Wien	1	1
Android Wear	Betriebssystem	2	Unterhaching	1	1
Android Wear	Betriebssystem	2	Unterhaching	3	1
AndroMDA	Framework	2	Wien	1	1
Anforderungsanalyse	AnfMgt	1	Hamburg	1	2
Anforderungsanalyse	AnfMgt	1	Hamburg	2	1
Anforderungsanalyse	AnfMgt	1	Offenbach	2	1
Anforderungsanalyse	AnfMgt	1	Stuttgart	1	2
Anforderungsanalyse	AnfMgt	1	Stuttgart	2	1
Anforderungsanalyse	AnfMgt	1	Unterhaching	1	5
Anforderungsanalyse	AnfMgt	1	Unterhaching	2	1
Anforderungsanalyse	AnfMgt	1	Wien	2	2
Anforderungsanalyse	AnfMgt	1	Wien	3	2
Anforderungsanalyse	AnfMgt	1	Zürich	3	1
Anforderungsanalyse	AnfMgt	2	Hamburg	1	2
Anforderungsanalyse	AnfMgt	2	Hamburg	3	5
Anforderungsanalyse	AnfMgt	2	Hamburg	4	1
Anforderungsanalyse	AnfMgt	2	Offenbach	2	2
Anforderungsanalyse	AnfMgt	2	Offenbach	3	2
Anforderungsanalyse	AnfMgt	2	Offenbach	4	1
Anforderungsanalyse	AnfMgt	2	Unterhaching	1	1
Anforderungsanalyse	AnfMgt	2	Unterhaching	2	2
Anforderungsanalyse	AnfMgt	2	Unterhaching	3	5
Anforderungsanalyse	AnfMgt	2	Unterhaching	4	3
Anforderungsanalyse	AnfMgt	2	Wien	1	1
Anforderungsanalyse	AnfMgt	2	Wien	2	1
Anforderungsanalyse	AnfMgt	2	Wien	3	3
Anforderungsanalyse	AnfMgt	2	Wien	4	1
Anforderungsanalyse	AnfMgt	3	Hamburg	3	1
Anforderungsanalyse	AnfMgt	3	Hamburg	4	1
Anforderungsanalyse	AnfMgt	3	Offenbach	1	2
Anforderungsanalyse	AnfMgt	3	Offenbach	3	1
Anforderungsanalyse	AnfMgt	3	Offenbach	4	2
Anforderungsanalyse	AnfMgt	3	Stuttgart	3	2
Anforderungsanalyse	AnfMgt	3	Stuttgart	4	1
Anforderungsanalyse	AnfMgt	3	Unterhaching	3	3
Anforderungsanalyse	AnfMgt	3	Unterhaching	4	5
Anforderungsanalyse	AnfMgt	3	Wien	4	3
Anforderungsanalyse	AnfMgt	3	Zürich	3	1
Anforderungsanalyse	AnfMgt	4	Offenbach	4	2
Anforderungsanalyse	AnfMgt	4	Stuttgart	4	1
Anforderungsanalyse	AnfMgt	4	Unterhaching	4	2
Anforderungsmanagement	AnfMgt	1	Hamburg	1	2
Anforderungsmanagement	AnfMgt	1	Hamburg	3	1
Anforderungsmanagement	AnfMgt	1	Unterhaching	1	1
Anforderungsmanagement	AnfMgt	1	Unterhaching	2	3
Anforderungsmanagement	AnfMgt	1	Wien	2	1
Anforderungsmanagement	AnfMgt	1	Wien	3	1
Anforderungsmanagement	AnfMgt	1	Zürich	3	1
Anforderungsmanagement	AnfMgt	2	Hamburg	1	1
Anforderungsmanagement	AnfMgt	2	Hamburg	2	1
Anforderungsmanagement	AnfMgt	2	Hamburg	3	2
Anforderungsmanagement	AnfMgt	2	Offenbach	2	1
Anforderungsmanagement	AnfMgt	2	Offenbach	3	1
Anforderungsmanagement	AnfMgt	2	Stuttgart	1	1
Anforderungsmanagement	AnfMgt	2	Unterhaching	1	1
Anforderungsmanagement	AnfMgt	2	Unterhaching	2	1
Anforderungsmanagement	AnfMgt	2	Unterhaching	3	6
Anforderungsmanagement	AnfMgt	2	Unterhaching	4	1
Anforderungsmanagement	AnfMgt	2	Wien	1	1
Anforderungsmanagement	AnfMgt	2	Wien	2	1
Anforderungsmanagement	AnfMgt	2	Wien	3	2
Anforderungsmanagement	AnfMgt	3	Hamburg	3	1
Anforderungsmanagement	AnfMgt	3	Hamburg	4	1
Anforderungsmanagement	AnfMgt	3	Offenbach	3	1
Anforderungsmanagement	AnfMgt	3	Offenbach	4	1
Anforderungsmanagement	AnfMgt	3	Stuttgart	1	1
Anforderungsmanagement	AnfMgt	3	Stuttgart	3	1
Anforderungsmanagement	AnfMgt	3	Stuttgart	4	1
Anforderungsmanagement	AnfMgt	3	Unterhaching	1	3
Anforderungsmanagement	AnfMgt	3	Unterhaching	3	1
Anforderungsmanagement	AnfMgt	3	Unterhaching	4	9
Anforderungsmanagement	AnfMgt	3	Wien	4	2
Anforderungsmanagement	AnfMgt	3	Zürich	3	1
Anforderungsmanagement	AnfMgt	4	Offenbach	4	2
Anforderungsmanagement	AnfMgt	4	Stuttgart	4	1
Anforderungsmanagement	AnfMgt	4	Unterhaching	4	1
Angular 2	Ohne Zuordnung	1	Unterhaching	1	1
AngularJS	Framework	1	Hamburg	1	6
AngularJS	Framework	1	Hamburg	2	2
AngularJS	Framework	1	Unterhaching	1	8
AngularJS	Framework	1	Unterhaching	2	2
AngularJS	Framework	1	Wien	1	6
AngularJS	Framework	1	Wien	2	1
AngularJS	Framework	2	Hamburg	1	3
AngularJS	Framework	2	Hamburg	2	3
AngularJS	Framework	2	Stuttgart	1	1
AngularJS	Framework	2	Unterhaching	1	8
AngularJS	Framework	2	Unterhaching	2	9
AngularJS	Framework	2	Wien	1	2
AngularJS	Framework	2	Wien	2	3
AngularJS	Framework	3	Hamburg	2	3
AngularJS	Framework	3	Hamburg	3	1
AngularJS	Framework	3	Unterhaching	2	1
AngularJS	Framework	3	Unterhaching	3	1
AngularJS	Framework	3	Wien	2	1
AngularJS	Framework	4	Unterhaching	3	2
Ansible	Build	1	Hamburg	1	3
Ansible	Build	2	Hamburg	1	1
Ansible	Build	2	Hamburg	2	1
Ansible	Build	3	Hamburg	1	1
Ansible	Build	3	Hamburg	2	1
Ansible	Build	4	Hamburg	1	1
Ant	Build	1	Hamburg	1	4
Ant	Build	1	Hamburg	2	3
Ant	Build	1	Hamburg	3	1
Ant	Build	1	Offenbach	1	3
Ant	Build	1	Offenbach	4	1
Ant	Build	1	Stuttgart	1	2
Ant	Build	1	Unterhaching	1	6
Ant	Build	1	Unterhaching	2	2
Ant	Build	1	Unterhaching	3	2
Ant	Build	1	Wien	1	1
Ant	Build	1	Wien	2	1
Ant	Build	2	Hamburg	1	2
Ant	Build	2	Hamburg	2	3
Ant	Build	2	Hamburg	3	1
Ant	Build	2	Hamburg	4	2
Ant	Build	2	Offenbach	1	2
Ant	Build	2	Offenbach	2	2
Ant	Build	2	Offenbach	3	2
Ant	Build	2	Stuttgart	1	1
Ant	Build	2	Stuttgart	3	1
Ant	Build	2	Unterhaching	1	4
Ant	Build	2	Unterhaching	2	6
Ant	Build	2	Unterhaching	3	7
Ant	Build	2	Unterhaching	4	1
Ant	Build	2	Wien	1	2
Ant	Build	2	Wien	3	1
Ant	Build	2	Wien	4	1
Ant	Build	3	Hamburg	1	1
Ant	Build	3	Hamburg	3	1
Ant	Build	3	Offenbach	4	3
Ant	Build	3	Stuttgart	1	1
Ant	Build	3	Unterhaching	1	5
Ant	Build	3	Unterhaching	3	2
Ant	Build	3	Unterhaching	4	3
Ant	Build	3	Wien	3	2
Ant	Build	3	Wien	4	1
Ant	Build	4	Unterhaching	3	1
Apache Daemon	Framework	1	Hamburg	3	1
Apache Daemon	Framework	2	Unterhaching	1	1
Apache Daemon	Framework	2	Wien	2	1
Apache Derby	DBMS	1	Offenbach	1	1
Apache Derby	DBMS	1	Unterhaching	2	1
Apache Derby	DBMS	1	Unterhaching	3	1
Apache Giraph	DBMS	2	Hamburg	2	1
Apache Ivy	Build	1	Hamburg	3	1
Apache Ivy	Build	1	Unterhaching	1	2
Apache Ivy	Build	1	Unterhaching	2	1
Apache Ivy	Build	1	Wien	2	1
Apache Ivy	Build	2	Unterhaching	2	2
Apache Ivy	Build	2	Wien	1	1
Apache Mesos	DBMS	1	Hamburg	2	1
Apache Mesos	DBMS	2	Hamburg	1	1
Apache POI	Framework	1	Hamburg	1	2
Apache POI	Framework	1	Offenbach	1	1
Apache POI	Framework	1	Offenbach	2	1
Apache POI	Framework	1	Stuttgart	1	1
Apache POI	Framework	1	Unterhaching	1	3
Apache POI	Framework	1	Unterhaching	2	3
Apache POI	Framework	1	Wien	1	1
Apache POI	Framework	1	Wien	2	1
Apache POI	Framework	2	Unterhaching	2	4
Apache POI	Framework	2	Unterhaching	3	3
Apache POI	Framework	2	Wien	1	3
Apache POI	Framework	2	Wien	3	1
Apache POI	Framework	3	Offenbach	3	1
Apache POI	Framework	3	Offenbach	4	1
Apache Solr	Sonstiges (Technologie)	1	Hamburg	1	1
Apache Solr	Sonstiges (Technologie)	1	Hamburg	2	1
Apache Solr	Sonstiges (Technologie)	1	Unterhaching	1	2
Apache Solr	Sonstiges (Technologie)	1	Wien	1	2
Apache Solr	Sonstiges (Technologie)	2	Hamburg	2	1
Apache Solr	Sonstiges (Technologie)	2	Stuttgart	1	2
Apache Spark	DBMS	1	Hamburg	1	3
Apache Spark	DBMS	1	Wien	1	2
Apache Spark	DBMS	3	Hamburg	2	1
Apache Webserver	Sonstiges (Technologie)	1	Hamburg	1	1
Apache Webserver	Sonstiges (Technologie)	1	Hamburg	2	3
Apache Webserver	Sonstiges (Technologie)	1	Hamburg	3	3
Apache Webserver	Sonstiges (Technologie)	1	Offenbach	1	2
Apache Webserver	Sonstiges (Technologie)	1	Offenbach	2	1
Apache Webserver	Sonstiges (Technologie)	1	Stuttgart	3	1
Apache Webserver	Sonstiges (Technologie)	1	Unterhaching	1	1
Apache Webserver	Sonstiges (Technologie)	1	Unterhaching	2	2
Apache Webserver	Sonstiges (Technologie)	1	Unterhaching	3	3
Apache Webserver	Sonstiges (Technologie)	1	Wien	3	1
Apache Webserver	Sonstiges (Technologie)	1	Wien	4	1
Apache Webserver	Sonstiges (Technologie)	2	Hamburg	1	1
Apache Webserver	Sonstiges (Technologie)	2	Hamburg	2	1
Apache Webserver	Sonstiges (Technologie)	2	Hamburg	4	1
Apache Webserver	Sonstiges (Technologie)	2	Offenbach	1	1
Apache Webserver	Sonstiges (Technologie)	2	Offenbach	2	1
Apache Webserver	Sonstiges (Technologie)	2	Offenbach	3	1
Apache Webserver	Sonstiges (Technologie)	2	Offenbach	4	2
Apache Webserver	Sonstiges (Technologie)	2	Unterhaching	1	2
Apache Webserver	Sonstiges (Technologie)	2	Unterhaching	2	5
Apache Webserver	Sonstiges (Technologie)	2	Unterhaching	3	3
Apache Webserver	Sonstiges (Technologie)	2	Unterhaching	4	2
Apache Webserver	Sonstiges (Technologie)	2	Wien	3	2
Apache Webserver	Sonstiges (Technologie)	2	Wien	4	1
Apache Webserver	Sonstiges (Technologie)	3	Hamburg	4	1
Apache Webserver	Sonstiges (Technologie)	3	Offenbach	4	1
Apache XMLBeans	Framework	1	Unterhaching	2	1
Apache XMLBeans	Framework	2	Unterhaching	2	1
AppCode	Werkzeug	2	Unterhaching	2	2
AppDynamics	Werkzeug	1	Hamburg	1	2
AppDynamics	Werkzeug	1	Unterhaching	1	1
AppDynamics	Werkzeug	2	Hamburg	1	1
AppDynamics	Werkzeug	3	Hamburg	2	1
arc42	Ohne Zuordnung	3	Wien	2	1
Architektur	Ohne Zuordnung	1	Hamburg	1	1
Architektur	Ohne Zuordnung	2	Wien	4	1
Architekturmanagement	ITM	1	Hamburg	1	1
Architekturmanagement	ITM	1	Offenbach	1	1
Architekturmanagement	ITM	1	Offenbach	2	1
Architekturmanagement	ITM	1	Wien	3	1
Architekturmanagement	ITM	1	Zürich	3	1
Architekturmanagement	ITM	2	Hamburg	3	2
Architekturmanagement	ITM	2	Offenbach	2	1
Architekturmanagement	ITM	2	Stuttgart	1	1
Architekturmanagement	ITM	2	Unterhaching	3	2
Architekturmanagement	ITM	2	Wien	3	1
Architekturmanagement	ITM	3	Offenbach	1	1
Architekturmanagement	ITM	3	Offenbach	4	1
Architekturmanagement	ITM	3	Stuttgart	1	2
Architekturmanagement	ITM	3	Stuttgart	3	1
Architekturmanagement	ITM	3	Unterhaching	1	2
Architekturmanagement	ITM	3	Unterhaching	3	3
ArchStyler	Werkzeug	3	Offenbach	2	1
Arduino	Sonstiges (Technologie)	1	Hamburg	1	2
Arduino	Sonstiges (Technologie)	1	Stuttgart	1	1
Arduino	Sonstiges (Technologie)	1	Stuttgart	3	1
Arduino	Sonstiges (Technologie)	1	Unterhaching	1	5
Arduino	Sonstiges (Technologie)	1	Wien	1	2
Arduino	Sonstiges (Technologie)	2	Hamburg	1	1
Arduino	Sonstiges (Technologie)	2	Offenbach	2	1
Arduino	Sonstiges (Technologie)	2	Unterhaching	3	1
Arduino	Sonstiges (Technologie)	2	Wien	2	1
Arduino	Sonstiges (Technologie)	3	Unterhaching	1	1
Arduino	Sonstiges (Technologie)	3	Wien	4	1
Arduino	Sonstiges (Technologie)	4	Unterhaching	4	1
ARIS	Standardsoftware	1	Hamburg	1	1
ARIS	Standardsoftware	1	Stuttgart	1	1
ARIS	Standardsoftware	1	Stuttgart	4	1
ARIS	Standardsoftware	1	Unterhaching	1	4
ARIS	Standardsoftware	1	Unterhaching	2	1
ARIS	Standardsoftware	1	Wien	1	2
ARIS	Standardsoftware	1	Wien	2	1
ARIS	Standardsoftware	1	Zürich	2	1
ARIS	Standardsoftware	2	Hamburg	1	1
ARIS	Standardsoftware	2	Hamburg	3	1
ARIS	Standardsoftware	2	Hamburg	4	1
ARIS	Standardsoftware	2	Offenbach	1	2
ARIS	Standardsoftware	2	Offenbach	3	1
ARIS	Standardsoftware	2	Stuttgart	1	2
ARIS	Standardsoftware	2	Unterhaching	1	1
ARIS	Standardsoftware	2	Unterhaching	3	1
ARIS	Standardsoftware	3	Hamburg	4	1
ARIS	Standardsoftware	3	Unterhaching	1	2
Arquillian	Framework	1	Hamburg	1	1
Arquillian	Framework	1	Hamburg	3	1
Arquillian	Framework	1	Offenbach	1	2
Arquillian	Framework	1	Unterhaching	1	4
Arquillian	Framework	1	Unterhaching	3	1
Arquillian	Framework	2	Hamburg	2	1
Arquillian	Framework	2	Unterhaching	1	1
Artifactory	Build	1	Hamburg	1	1
Artifactory	Build	1	Wien	2	1
Artifactory	Build	2	Unterhaching	2	1
Artifactory	Build	2	Wien	1	1
Artifactory	Build	3	Hamburg	3	1
asdasdsd	Ohne Zuordnung	2	Unterhaching	1	1
ASF	Framework	2	Offenbach	3	1
ASP	Framework	1	Unterhaching	2	1
ASP	Framework	2	Hamburg	3	1
ASP.NET	Framework	1	Stuttgart	1	1
ASP.NET	Framework	1	Unterhaching	1	1
ASP.NET	Framework	1	Unterhaching	2	1
ASP.NET	Framework	1	Wien	1	1
ASP.NET	Framework	2	Hamburg	2	1
ASP.NET	Framework	2	Offenbach	1	1
ASP.NET	Framework	2	Unterhaching	1	1
ASP.NET	Framework	2	Unterhaching	3	1
ASP.NET	Framework	2	Wien	1	1
ASP.NET	Framework	2	Wien	3	1
AspectJ	Sprache	1	Hamburg	1	1
AspectJ	Sprache	1	Offenbach	1	1
AspectJ	Sprache	1	Stuttgart	1	1
AspectJ	Sprache	1	Unterhaching	1	2
AspectJ	Sprache	1	Unterhaching	2	2
AspectJ	Sprache	1	Unterhaching	3	1
AspectJ	Sprache	1	Wien	1	2
AspectJ	Sprache	2	Hamburg	1	1
AspectJ	Sprache	2	Offenbach	1	1
AspectJ	Sprache	2	Unterhaching	3	1
AspectJ	Sprache	2	Wien	3	2
AspectJ	Sprache	3	Unterhaching	2	1
Assembler	Sprache	1	Hamburg	2	1
Assembler	Sprache	1	Offenbach	1	1
Assembler	Sprache	1	Unterhaching	1	4
Assembler	Sprache	1	Unterhaching	2	1
Assembler	Sprache	1	Wien	2	1
Assembler	Sprache	2	Offenbach	4	1
Assembler	Sprache	2	Stuttgart	2	1
Assembler	Sprache	2	Unterhaching	2	2
Assembler	Sprache	2	Unterhaching	3	1
Assentis DocFamily	Werkzeug	1	Wien	1	2
Assentis DocFamily	Werkzeug	2	Offenbach	2	1
Assentis DocFamily	Werkzeug	2	Unterhaching	3	1
Assentis DocFamily	Werkzeug	2	Wien	1	1
Assentis DocFamily	Werkzeug	2	Wien	2	2
Assentis DocFamily	Werkzeug	3	Unterhaching	3	1
Assentis DocFamily	Werkzeug	3	Wien	2	1
AssertJ	Framework	2	Hamburg	1	2
AssertJ	Framework	2	Hamburg	2	1
AssertJ	Framework	2	Unterhaching	1	1
ATAM	Vorgehen	1	Offenbach	2	2
ATAM	Vorgehen	1	Unterhaching	1	1
ATAM	Vorgehen	2	Hamburg	2	1
ATAM	Vorgehen	2	Wien	1	1
Atmosphere	Framework	2	Unterhaching	2	1
Atom	Build	1	Unterhaching	1	2
Augmented Reality	Sonstiges (Technologie)	1	Hamburg	1	1
Augmented Reality	Sonstiges (Technologie)	1	Offenbach	1	1
Augmented Reality	Sonstiges (Technologie)	1	Stuttgart	1	1
Augmented Reality	Sonstiges (Technologie)	1	Wien	1	1
Augmented Reality	Sonstiges (Technologie)	1	Wien	2	1
Augmented Reality	Sonstiges (Technologie)	2	Offenbach	2	1
Augmented Reality	Sonstiges (Technologie)	2	Unterhaching	1	1
Ausschreibungsmanagement	Sonstiges (Methodik)	2	Stuttgart	2	1
Ausschreibungsmanagement	Sonstiges (Methodik)	2	Unterhaching	2	1
Ausschreibungsmanagement	Sonstiges (Methodik)	3	Hamburg	4	1
Autodesk Maya	Ohne Zuordnung	1	Hamburg	1	1
Autodesk Maya	Ohne Zuordnung	2	Wien	3	1
Axis	Framework	1	Offenbach	2	1
Axis	Framework	1	Unterhaching	1	1
Axis	Framework	1	Unterhaching	2	1
Axis	Framework	1	Wien	1	2
Axis	Framework	2	Hamburg	2	1
Axis	Framework	2	Unterhaching	2	1
Axis	Framework	2	Unterhaching	3	1
Axis	Framework	3	Unterhaching	3	1
Axis	Framework	3	Wien	3	1
Bamboo	Build	1	Hamburg	1	3
Bamboo	Build	1	Hamburg	2	1
Bamboo	Build	1	Stuttgart	1	1
Bamboo	Build	1	Unterhaching	1	3
Bamboo	Build	1	Unterhaching	2	1
Bamboo	Build	2	Hamburg	2	1
Bamboo	Build	2	Unterhaching	1	1
Bamboo	Build	2	Unterhaching	2	2
bash	Sonstiges (Technologie)	1	Hamburg	1	2
bash	Sonstiges (Technologie)	1	Hamburg	4	1
bash	Sonstiges (Technologie)	1	Offenbach	1	1
bash	Sonstiges (Technologie)	1	Unterhaching	1	2
bash	Sonstiges (Technologie)	1	Unterhaching	2	3
bash	Sonstiges (Technologie)	1	Unterhaching	3	1
bash	Sonstiges (Technologie)	1	Wien	1	1
bash	Sonstiges (Technologie)	1	Wien	4	2
bash	Sonstiges (Technologie)	2	Hamburg	1	1
bash	Sonstiges (Technologie)	2	Hamburg	3	3
bash	Sonstiges (Technologie)	2	Hamburg	4	2
bash	Sonstiges (Technologie)	2	Offenbach	2	1
bash	Sonstiges (Technologie)	2	Offenbach	4	1
bash	Sonstiges (Technologie)	2	Stuttgart	1	1
bash	Sonstiges (Technologie)	2	Stuttgart	4	2
bash	Sonstiges (Technologie)	2	Unterhaching	2	2
bash	Sonstiges (Technologie)	2	Unterhaching	3	2
